timestamp,elapsed_s,distance_m,speed_m_s,stroke_rate_spm,latitude,longitude,heading_deg
2026-02-03T06:00:05.000-03:00,5.000,16.851,3.370,21.00,11.0001515,11.0000008,0.0
2026-02-03T06:00:10.000-03:00,10.000,33.612,3.352,21.06,11.0003023,11.0000015,0.0
2026-02-03T06:00:15.000-03:00,15.000,50.475,3.373,21.04,11.0004539,11.0000023,0.0
2026-02-03T06:00:20.000-03:00,20.000,67.225,3.350,20.91,11.0006046,11.0000030,0.0
2026-02-03T06:00:25.000-03:00,25.000,83.916,3.338,20.96,11.0007547,11.0000038,0.0
2026-02-03T06:00:30.000-03:00,30.000,100.677,3.352,21.11,11.0009054,11.0000045,0.0
2026-02-03T06:00:35.000-03:00,35.000,117.342,3.333,21.00,11.0010553,11.0000052,0.0
2026-02-03T06:00:40.000-03:00,40.000,134.151,3.362,20.96,11.0012065,11.0000059,0.0
2026-02-03T06:00:45.000-03:00,45.000,150.931,3.356,21.01,11.0013574,11.0000066,0.0
2026-02-03T06:00:50.000-03:00,50.000,167.714,3.357,20.89,11.0015083,11.0000072,0.0
2026-02-03T06:00:55.000-03:00,55.000,184.560,3.369,20.93,11.0016598,11.0000079,0.0
2026-02-03T06:01:00.000-03:00,60.000,201.213,3.331,21.01,11.0018096,11.0000085,0.0
2026-02-03T06:01:05.000-03:00,65.000,217.891,3.336,21.09,11.0019595,11.0000091,0.0
2026-02-03T06:01:10.000-03:00,70.000,234.591,3.340,21.01,11.0021097,11.0000096,0.0
2026-02-03T06:01:15.000-03:00,75.000,251.338,3.349,20.97,11.0022603,11.0000102,0.0
2026-02-03T06:01:20.000-03:00,80.000,268.162,3.365,21.07,11.0024116,11.0000107,0.0
2026-02-03T06:01:25.000-03:00,85.000,284.836,3.335,21.05,11.0025616,11.0000111,0.0
2026-02-03T06:01:30.000-03:00,90.000,301.543,3.341,20.90,11.0027118,11.0000116,0.0
2026-02-03T06:01:35.000-03:00,95.000,318.252,3.342,21.06,11.0028621,11.0000120,0.0
2026-02-03T06:01:40.000-03:00,100.000,334.959,3.341,21.05,11.0030124,11.0000123,0.0
2026-02-03T06:01:45.000-03:00,105.000,351.632,3.335,21.09,11.0031623,11.0000126,0.0
2026-02-03T06:01:50.000-03:00,110.000,368.392,3.352,21.00,11.0033130,11.0000129,0.0
2026-02-03T06:01:55.000-03:00,115.000,385.195,3.361,21.04,11.0034641,11.0000132,0.0
2026-02-03T06:02:00.000-03:00,120.000,402.030,3.367,20.89,11.0036155,11.0000134,0.0
2026-02-03T06:02:05.000-03:00,125.000,418.789,3.352,20.96,11.0037663,11.0000135,0.0
2026-02-03T06:02:10.000-03:00,130.000,435.516,3.345,20.97,11.0039167,11.0000136,0.0
2026-02-03T06:02:15.000-03:00,135.000,452.319,3.361,20.99,11.0040678,11.0000137,0.0
2026-02-03T06:02:20.000-03:00,140.000,469.138,3.364,20.98,11.0042191,11.0000137,0.0
2026-02-03T06:02:25.000-03:00,145.000,486.004,3.373,20.99,11.0043707,11.0000137,0.0
2026-02-03T06:02:29.178-03:00,149.179,500.000,3.349,20.99,11.0044966,11.0000137,0.0
2026-02-03T06:02:34.178-03:00,154.179,508.330,1.666,15.97,11.0045715,11.0000136,0.0
2026-02-03T06:02:39.178-03:00,159.179,516.625,1.659,15.94,11.0046461,11.0000135,0.0
2026-02-03T06:02:44.178-03:00,164.179,524.814,1.638,16.03,11.0047198,11.0000133,0.0
2026-02-03T06:02:49.178-03:00,169.179,533.029,1.643,15.93,11.0047936,11.0000131,0.0
2026-02-03T06:02:54.178-03:00,174.179,541.353,1.665,15.91,11.0048685,11.0000128,0.0
2026-02-03T06:02:59.178-03:00,179.179,549.680,1.665,15.95,11.0049434,11.0000125,0.0
2026-02-03T06:03:04.178-03:00,184.179,557.990,1.662,16.08,11.0050181,11.0000122,0.0
2026-02-03T06:03:09.178-03:00,189.179,566.176,1.637,15.99,11.0050917,11.0000118,0.0
2026-02-03T06:03:14.178-03:00,194.179,574.510,1.667,15.94,11.0051667,11.0000114,0.0
2026-02-03T06:03:19.178-03:00,199.179,582.844,1.667,16.00,11.0052416,11.0000110,0.0
2026-02-03T06:03:24.178-03:00,204.179,591.119,1.655,16.03,11.0053161,11.0000105,0.0
2026-02-03T06:03:29.178-03:00,209.179,599.288,1.634,16.04,11.0053895,11.0000100,0.0
2026-02-03T06:03:34.178-03:00,214.179,607.482,1.639,16.07,11.0054632,11.0000095,0.0
2026-02-03T06:03:39.178-03:00,219.179,615.673,1.638,16.01,11.0055369,11.0000089,0.0
2026-02-03T06:03:44.178-03:00,224.179,623.852,1.636,16.00,11.0056104,11.0000083,0.0
2026-02-03T06:03:49.178-03:00,229.179,632.028,1.635,15.98,11.0056840,11.0000077,0.0
2026-02-03T06:03:54.178-03:00,234.179,640.259,1.646,16.01,11.0057580,11.0000071,0.0
2026-02-03T06:03:59.178-03:00,239.179,648.569,1.662,16.10,11.0058327,11.0000064,0.0
2026-02-03T06:04:04.178-03:00,244.179,656.915,1.669,15.91,11.0059078,11.0000057,0.0
2026-02-03T06:04:09.178-03:00,249.179,665.125,1.642,16.09,11.0059816,11.0000050,0.0
2026-02-03T06:04:14.178-03:00,254.179,673.368,1.648,16.08,11.0060557,11.0000043,0.0
2026-02-03T06:04:19.178-03:00,259.179,681.678,1.662,15.91,11.0061305,11.0000036,0.0
2026-02-03T06:04:24.178-03:00,264.179,690.005,1.665,16.08,11.0062054,11.0000028,0.0
2026-02-03T06:04:29.178-03:00,269.179,698.216,1.642,15.93,11.0062792,11.0000021,0.0
2026-02-03T06:04:34.178-03:00,274.179,706.371,1.631,15.96,11.0063525,11.0000013,0.0
2026-02-03T06:04:39.178-03:00,279.179,714.655,1.657,16.10,11.0064270,11.0000005,0.0
2026-02-03T06:04:44.178-03:00,284.179,722.937,1.656,16.06,11.0065015,10.9999998,0.0
2026-02-03T06:04:49.178-03:00,289.179,731.190,1.651,15.98,11.0065757,10.9999990,0.0
2026-02-03T06:04:54.178-03:00,294.179,739.409,1.644,15.95,11.0066497,10.9999983,0.0
2026-02-03T06:04:59.178-03:00,299.179,747.663,1.651,15.96,11.0067239,10.9999975,0.0
