Session Information:,,,,Device Information:,,,,Oarlock Information:,,,,Oarlock Settings:

Name:,JustGo-3915M,,,Name:,SpeedCoach fixture-device,,,Firmware:,---,,,Boat ID:,---
Start Time:,01/15/2026 06:59:50,,,Model:,SpeedCoach GPS Pro,,,,,,,Seat Number:,---
Type:,Just Go,,,Serial:,fixture-device,,,,,,,Port Starboard:,---
System of Units:,Meters/Split500,,,Firmware Version:,3.03,,,,,,,Oar Length:,---
Speed Input:,GPS,,,Profile Version:,1.16,,,,,,,Inboard Length:,---
,,,,Hardware Version:,Rev 22B,,,,,,,,
,,,,LiNK Version:,2.1.68,,,,,,,,


Session Summary:

Total Intervals,Total Distance (GPS),Total Distance (IMP),Total Elapsed Time,Avg Split (GPS),Avg Speed (GPS),Avg Split (IMP),Avg Speed (IMP),Avg Stroke Rate,Total Strokes,Distance/Stroke (GPS),Distance/Stroke (IMP),Avg Heart Rate,Avg Power,Avg Catch,Avg Slip,Avg Finish,Avg Wash,Avg Force Avg,Avg Work,Avg Force Max,Avg Max Force Angle,Start GPS Lat.,Start GPS Lon.
(Interval),(Meters),(Meters),(HH:MM:SS.tenths),(/500),(M/S),(/500),(M/S),(SPM),(Strokes),(Meters),(Meters),(BPM),(Watts),(Degrees),(Degrees),(Degrees),(Degrees),(Newtons),(Joules),(Newtons),(Degrees),(Degrees),(Degrees)
1,3915.3,0.0,00:25:25.8,00:03:15.3,2.56,00:00:00.0,0.00,22.0,549,7.1,0.0,---,---,---,---,---,---,---,---,---,---,10.0000000,10.0000000


Interval Summaries:

Interval,Total Distance (GPS),Total Distance (IMP),Total Elapsed Time,Avg Split (GPS),Avg Speed (GPS),Avg Split (IMP),Avg Speed (IMP),Avg Stroke Rate,Total Strokes,Distance/Stroke (GPS),Distance/Stroke (IMP),Avg Heart Rate,Avg Power,Avg Catch,Avg Slip,Avg Finish,Avg Wash,Avg Force Avg,Avg Work,Avg Force Max,Avg Max Force Angle,Start GPS Lat.,Start GPS Lon.
(Interval),(Meters),(Meters),(HH:MM:SS.tenths),(/500),(M/S),(/500),(M/S),(SPM),(Strokes),(Meters),(Meters),(BPM),(Watts),(Degrees),(Degrees),(Degrees),(Degrees),(Newtons),(Joules),(Newtons),(Degrees),(Degrees),(Degrees)
1,3915.3,0.0,00:25:25.8,00:03:15.3,2.56,00:00:00.0,0.00,22.0,549,7.1,0.0,---,---,---,---,---,---,---,---,---,---,10.0000000,10.0000000



Per-Stroke Data:

Interval,Distance (GPS),Distance (IMP),Elapsed Time,Split (GPS),Speed (GPS),Split (IMP),Speed (IMP),Stroke Rate,Total Strokes,Distance/Stroke (GPS),Distance/Stroke (IMP),Heart Rate,Power,Catch,Slip,Finish,Wash,Force Avg,Work,Force Max,Max Force Angle,GPS Lat.,GPS Lon.
(Interval),(Meters),(Meters),(HH:MM:SS.tenths),(/500),(M/S),(/500),(M/S),(SPM),(Strokes),(Meters),(Meters),(BPM),(Watts),(Degrees),(Degrees),(Degrees),(Degrees),(Newtons),(Joules),(Newtons),(Degrees),(Degrees),(Degrees)
1,4.5,0.0,00:00:03.1,00:03:46.2,2.21,00:00:00.0,0.00,19.0,1,4.5,0.0,---,---,---,---,---,---,---,---,---,---,10.0000000,10.0000000
1,11.2,0.0,00:00:06.1,00:04:50.7,1.72,00:00:00.0,0.00,21.0,2,6.7,0.0,---,---,---,---,---,---,---,---,---,---,10.0000559,10.0000219
1,18.2,0.0,00:00:08.9,00:03:49.4,2.18,00:00:00.0,0.00,21.5,3,7.0,0.0,---,---,---,---,---,---,---,---,---,---,10.0001154,10.0000430
1,25.5,0.0,00:00:11.7,00:03:21.6,2.48,00:00:00.0,0.00,21.0,4,7.3,0.0,---,---,---,---,---,---,---,---,---,---,10.0001753,10.0000688
1,32.7,0.0,00:00:14.5,00:03:13.1,2.59,00:00:00.0,0.00,21.5,5,7.2,0.0,---,---,---,---,---,---,---,---,---,---,10.0002376,10.0000889
1,39.9,0.0,00:00:17.4,00:03:13.8,2.58,00:00:00.0,0.00,22.0,6,7.2,0.0,---,---,---,---,---,---,---,---,---,---,10.0002989,10.0001093
1,47.2,0.0,00:00:20.2,00:03:11.6,2.61,00:00:00.0,0.00,21.0,7,7.3,0.0,---,---,---,---,---,---,---,---,---,---,10.0003611,10.0001297
1,54.6,0.0,00:00:23.1,00:03:08.7,2.65,00:00:00.0,0.00,21.5,8,7.4,0.0,---,---,---,---,---,---,---,---,---,---,10.0004252,10.0001480
1,62.0,0.0,00:00:25.9,00:03:07.3,2.67,00:00:00.0,0.00,20.0,9,7.4,0.0,---,---,---,---,---,---,---,---,---,---,10.0004896,10.0001657
1,69.2,0.0,00:00:28.9,00:03:09.4,2.64,00:00:00.0,0.00,22.0,10,7.2,0.0,---,---,---,---,---,---,---,---,---,---,10.0005525,10.0001818
1,76.9,0.0,00:00:31.8,00:03:10.8,2.62,00:00:00.0,0.00,21.0,11,7.7,0.0,---,---,---,---,---,---,---,---,---,---,10.0006196,10.0001987
1,84.3,0.0,00:00:34.4,00:03:12.3,2.60,00:00:00.0,0.00,22.0,12,7.3,0.0,---,---,---,---,---,---,---,---,---,---,10.0006836,10.0002151
1,91.9,0.0,00:00:37.4,00:03:13.8,2.58,00:00:00.0,0.00,20.0,13,7.7,0.0,---,---,---,---,---,---,---,---,---,---,10.0007507,10.0002318
1,99.6,0.0,00:00:40.4,00:03:16.9,2.54,00:00:00.0,0.00,21.0,14,7.6,0.0,---,---,---,---,---,---,---,---,---,---,10.0008173,10.0002479
1,106.9,0.0,00:00:43.1,00:03:20.0,2.50,00:00:00.0,0.00,20.0,15,7.4,0.0,---,---,---,---,---,---,---,---,---,---,10.0008811,10.0002649
1,114.4,0.0,00:00:45.9,00:03:19.2,2.51,00:00:00.0,0.00,21.5,16,7.5,0.0,---,---,---,---,---,---,---,---,---,---,10.0009461,10.0002821
1,121.7,0.0,00:00:48.7,00:03:16.9,2.54,00:00:00.0,0.00,21.0,17,7.3,0.0,---,---,---,---,---,---,---,---,---,---,10.0010103,10.0002975
1,129.7,0.0,00:00:51.7,00:03:15.3,2.56,00:00:00.0,0.00,21.0,18,7.9,0.0,---,---,---,---,---,---,---,---,---,---,10.0010799,10.0003126
1,137.1,0.0,00:00:54.6,00:03:13.8,2.58,00:00:00.0,0.00,21.5,19,7.4,0.0,---,---,---,---,---,---,---,---,---,---,10.0011456,10.0003251
1,144.7,0.0,00:00:57.4,00:03:10.8,2.62,00:00:00.0,0.00,21.5,20,7.6,0.0,---,---,---,---,---,---,---,---,---,---,10.0012126,10.0003369
1,152.3,0.0,00:01:00.1,00:03:07.3,2.67,00:00:00.0,0.00,21.0,21,7.6,0.0,---,---,---,---,---,---,---,---,---,---,10.0012802,10.0003475
1,160.2,0.0,00:01:03.1,00:03:07.3,2.67,00:00:00.0,0.00,20.5,22,7.9,0.0,---,---,---,---,---,---,---,---,---,---,10.0013507,10.0003570
1,167.8,0.0,00:01:05.9,00:03:09.4,2.64,00:00:00.0,0.00,21.5,23,7.6,0.0,---,---,---,---,---,---,---,---,---,---,10.0014184,10.0003651
1,175.8,0.0,00:01:08.9,00:03:10.1,2.63,00:00:00.0,0.00,21.0,24,8.0,0.0,---,---,---,---,---,---,---,---,---,---,10.0014900,10.0003729
1,183.0,0.0,00:01:11.5,00:03:10.1,2.63,00:00:00.0,0.00,21.5,25,7.2,0.0,---,---,---,---,---,---,---,---,---,---,10.0015541,10.0003794
1,191.1,0.0,00:01:14.5,00:03:10.1,2.63,00:00:00.0,0.00,21.0,26,8.1,0.0,---,---,---,---,---,---,---,---,---,---,10.0016269,10.0003856
