Session Summary
key,value
session_id,fixture-session-ios
user_id,
start_time,2026-01-15T10:59:18.826Z
end_time,2026-01-15T11:25:22.549Z
elapsed_seconds,1564
rower_type,OLYMPIC
boat_type,SINGLE_SCULL
visibility,PUBLIC
total_distance_m,4625
avg_speed_ms,2.9974076474400517
avg_split_s_500m,166.8108108108108
avg_spm,22
total_strokes,562
avg_heart_rate,
max_heart_rate,
avg_dps_m,8.229537366548042
best_split_s_500m,146.7593787441078
avg_power_w,75
max_speed_ms,3.909274973023346

Device Info
key,value
device_model,fixture-mobile-ios
device_os,ios
device_os_version,26.5
app_version,7.0.2
app_build,121

Workout Logs
timestamp,latitude,longitude,speed,split_seconds,spm,stroke_count,heart_rate,accelx,accely,accelz
2026-01-15T10:59:39.108Z,9.9999253,9.9999173,0.5748256799844026,869.8289192883085,,,,0,0,0
2026-01-15T10:59:47.103Z,9.9999898,9.9999763,0.7600804651080662,657.825089517215,,,,0,0,0
2026-01-15T10:59:53.096Z,10.0000566,10.0000118,0.8923347459334139,560.3278391641942,,3,,0,0,0
2026-01-15T10:59:59.101Z,10.0001660,10.0000489,1.6168914045846536,309.23536273509956,27,5,,0,0,0
2026-01-15T11:00:05.112Z,10.0002834,10.0000870,2.084881745781682,239.82175536413249,22,7,,0,0,0
2026-01-15T11:00:11.098Z,10.0004322,10.0001344,2.412328183255087,207.26864755413274,21,9,,0,0,0
2026-01-15T11:00:16.981Z,10.0005249,10.0001674,2.6563986329916616,188.22476182232305,21,12,,0,0,0
2026-01-15T11:00:22.101Z,10.0006753,10.0002058,2.804146911120129,178.30734831231536,21,13,,0,0,0
2026-01-15T11:00:27.108Z,10.0007833,10.0002379,2.7933674367198007,178.9954280369004,21,15,,0,0,0
2026-01-15T11:00:33.108Z,10.0009219,10.0002719,2.768169749722842,180.62476119828332,21,17,,0,0,0
2026-01-15T11:00:39.106Z,10.0010591,10.0003034,2.7297509141170364,183.16689534353713,21,19,,0,0,0
2026-01-15T11:00:45.121Z,10.0011997,10.0003269,2.643982175223064,189.1086879047574,21,21,,0,0,0
2026-01-15T11:00:51.250Z,10.0013172,10.0003438,2.6321998823285186,189.95517907161587,21,24,,0,0,0
2026-01-15T11:00:57.021Z,10.0014629,10.0003611,2.6510277760869796,188.60609628844384,21,26,,0,0,0
2026-01-15T11:01:02.103Z,10.0016081,10.0003769,2.665495157207414,187.58240796199382,21,27,,0,0,0
2026-01-15T11:01:07.114Z,10.0017223,10.0003808,2.7058626218431363,184.78395612687018,21,29,,0,0,0
2026-01-15T11:01:13.106Z,10.0018693,10.0003895,2.802486416449013,178.41299678217254,21,31,,0,0,0
2026-01-15T11:01:19.107Z,10.0020135,10.0003972,2.9237679259941656,171.01220502307328,21,33,,0,0,0
2026-01-15T11:01:25.121Z,10.0021604,10.0004062,2.9621677507544266,168.795301978646,21,35,,0,0,0
2026-01-15T11:01:31.105Z,10.0023041,10.0004188,2.885057927351214,173.30674551101734,21,37,,0,0,0
2026-01-15T11:01:36.982Z,10.0024203,10.0004264,2.7823147496142293,179.70648362818244,21,40,,0,0,0
2026-01-15T11:01:42.105Z,10.0025698,10.0004388,2.891293095827948,172.93300382499632,21,41,,0,0,0
2026-01-15T11:01:47.113Z,10.0026836,10.0004473,2.839952207313452,176.0593008264008,21,43,,0,0,0
2026-01-15T11:01:53.106Z,10.0028214,10.0004567,2.7113369755935044,184.4108661154342,21,45,,0,0,0
2026-01-15T11:01:58.111Z,10.0029266,10.0004708,2.712230691341594,184.3501003053236,21,47,,0,0,0
2026-01-15T11:02:04.110Z,10.0030756,10.0004767,2.668823086728563,187.34849922663804,21,49,,0,0,0
2026-01-15T11:02:10.105Z,10.0032212,10.0004779,2.671345069218034,187.1716259204064,21,51,,0,0,0
2026-01-15T11:02:15.108Z,10.0033303,10.0004933,2.586475608922327,193.3132476777264,21,53,,0,0,0
2026-01-15T11:02:21.109Z,10.0034710,10.0004961,2.544942187626411,196.4681172055757,21,55,,0,0,0
2026-01-15T11:02:27.114Z,10.0036063,10.0005004,2.5737427289658283,194.26961147779838,21,57,,0,0,0
2026-01-15T11:02:33.878Z,10.0037338,10.0005119,2.5827946427775754,193.58875526483695,21,60,,0,0,0
2026-01-15T11:02:39.686Z,10.0038737,10.0005125,2.6020073541881805,192.15933390626358,21,62,,0,0,0
2026-01-15T11:02:45.590Z,10.0040105,10.0005216,2.599036134615987,192.37901056495932,21,64,,0,0,0
2026-01-15T11:02:51.109Z,10.0041739,10.0005325,2.5895087566113486,193.08681568403108,20,65,,0,0,0
2026-01-15T11:02:56.117Z,10.0042860,10.0005469,2.5782961119182906,193.92652290352817,20,67,,0,0,0
2026-01-15T11:03:02.111Z,10.0044274,10.0005556,2.6671389106119916,187.4668012268142,20,69,,0,0,0
2026-01-15T11:03:07.113Z,10.0045359,10.0005645,2.5843110573056904,193.4751618178974,21,71,,0,0,0
2026-01-15T11:03:13.111Z,10.0046728,10.0005691,2.445384047614057,204.4668609365659,21,73,,0,0,0
2026-01-15T11:03:19.107Z,10.0048132,10.0005689,2.402791029337609,208.09133790458583,20,75,,0,0,0
2026-01-15T11:03:25.120Z,10.0049591,10.0005751,2.4583004152017702,203.39255402149922,21,77,,0,0,0
2026-01-15T11:03:31.103Z,10.0051037,10.0005830,2.6740072708215843,186.9852806519766,21,79,,0,0,0
2026-01-15T11:03:36.118Z,10.0052112,10.0005821,2.575882065601161,194.10826554410195,21,81,,0,0,0
2026-01-15T11:03:42.105Z,10.0053516,10.0005827,2.4368620115449424,205.18190920585025,21,83,,0,0,0
2026-01-15T11:03:48.110Z,10.0054948,10.0005868,2.4534860845235444,203.79165920441633,21,85,,0,0,0
2026-01-15T11:03:54.106Z,10.0056355,10.0005855,2.530275751575715,197.60692078269642,22,87,,0,0,0
2026-01-15T11:03:59.106Z,10.0057462,10.0005856,2.4765257283626174,201.89574219791393,24,90,,0,0,0
2026-01-15T11:04:05.120Z,10.0058840,10.0005826,2.564666784782135,194.9571004571942,26,92,,0,0,0
2026-01-15T11:04:12.080Z,10.0059989,10.0005820,2.5894382158669287,193.09207570052138,22,95,,0,0,0
2026-01-15T11:04:17.777Z,10.0060927,10.0005772,2.5900429271684486,193.0469934514261,21,97,,0,0,0
2026-01-15T11:04:23.112Z,10.0062918,10.0005682,2.6743383331566584,186.96213332507725,21,98,,0,0,0
2026-01-15T11:04:29.105Z,10.0064288,10.0005556,2.6676875535878453,187.42824635798763,21,100,,0,0,0
2026-01-15T11:04:34.108Z,10.0065318,10.0005498,2.7426556455486386,182.30505926309257,21,102,,0,0,0
2026-01-15T11:04:40.106Z,10.0066618,10.0005402,2.400767749946422,208.26670968533233,21,104,,0,0,0
2026-01-15T11:04:46.110Z,10.0068046,10.0005270,2.373717311268958,210.64007817034735,21,106,,0,0,0
2026-01-15T11:04:52.105Z,10.0069421,10.0005238,2.5730507401315736,194.32185778599623,21,108,,0,0,0
2026-01-15T11:04:57.107Z,10.0070570,10.0005188,2.680312384477619,186.54542018894108,21,110,,0,0,0
2026-01-15T11:05:02.110Z,10.0071581,10.0005162,2.5380039255579154,197.00521144390578,21,112,,0,0,0
2026-01-15T11:05:08.109Z,10.0073016,10.0005037,2.4450152275844483,204.49770388300394,21,114,,0,0,0
